# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1769769442372000000,1769769490238000000,0
jps.global.handle.changed.events.ms,1769769442372000000,1769769490238000000,0
jps.global.handle.before.change.events.ms,1769769442372000000,1769769490238000000,0
workspaceModel.mutableEntityStorage.instances.count,1769769442372000000,1769769490238000000,5
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1769769442372000000,1769769490238000000,0
jps.load.initial.state.ms,1769769442372000000,1769769490238000000,29
jps.global.get.library.ms,1769769442372000000,1769769490238000000,0
jps.app.storage.content.writer.save.component.ms,1769769442372000000,1769769490238000000,97
jps.global.get.library.by.name.ms,1769769442372000000,1769769490238000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1769769442372000000,1769769490238000000,0
workspaceModel.on.before.changed.ms,1769769442372000000,1769769490238000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1769769442372000000,1769769490238000000,4
workspaceModel.cachedValueWithParameters.total.get.count,1769769442372000000,1769769490238000000,0
workspaceModel.initializing.ms,1769769442372000000,1769769490238000000,0
workspaceModel.check.recursive.update.ms,1769769442372000000,1769769490238000000,0
workspaceModel.cachedValue.from.cache.count,1769769442372000000,1769769490238000000,15
workspaceModel.cachedValue.total.get.count,1769769442372000000,1769769490238000000,17
workspaceModel.init.bridges.ms,1769769442372000000,1769769490238000000,0
workspaceModel.cachedValue.calculated.count,1769769442372000000,1769769490238000000,2
workspaceModel.updates.count,1769769442372000000,1769769490238000000,0
workspaceModel.updates.ms,1769769442372000000,1769769490238000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1769769442372000000,1769769490238000000,0
workspaceModel.on.changed.ms,1769769442372000000,1769769490238000000,0
workspaceModel.update.unloaded.entities.ms,1769769442372000000,1769769490238000000,0
workspaceModel.loading.total.ms,1769769442372000000,1769769490238000000,39
workspaceModel.cachedValue.clear.count,1769769442372000000,1769769490238000000,0
workspaceModel.replace.project.model.ms,1769769442372000000,1769769490238000000,0
workspaceModel.collect.changes.ms,1769769442372000000,1769769490238000000,0
workspaceModel.pre.handlers.ms,1769769442372000000,1769769490238000000,0
workspaceModel.cachedValueWithParameters.clear.count,1769769442372000000,1769769490238000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1769769442372000000,1769769490238000000,0
workspaceModel.full.replace.project.model.ms,1769769442372000000,1769769490238000000,0
workspaceModel.updates.precise.ms,1769769442372000000,1769769490238000000,0
workspaceModel.to.snapshot.ms,1769769442372000000,1769769490238000000,0
workspaceModel.loading.from.cache.ms,1769769442372000000,1769769490238000000,33
DirectByteBufferAllocator.misses,1769769442372000000,1769769490238000000,385
StorageLockContext.competingThreads.avg,1769769442372000000,1769769490238000000,0.04819277108433735
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1769769442372000000,1769769490238000000,41943040
StorageLockContext.competingThreads.max,1769769442372000000,1769769490238000000,2
FilePageCache.pageLoadsAboveSizeThreshold,1769769442372000000,1769769490238000000,0
FilePageCache.uncachedFileAccess,1769769442372000000,1769769490238000000,697
FileChannelInterruptsRetryer.totalRetriedAttempts,1769769442372000000,1769769490238000000,0
FilePageCache.capacityInBytes,1769769442372000000,1769769490238000000,629145600
FilePageCache.maxCacheSizeInBytes,1769769442372000000,1769769490238000000,403701760
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1769769442372000000,1769769490238000000,41943040
StorageLockContext.competingThreads.90P,1769769442372000000,1769769490238000000,0
FilePageCache.totalPageDisposalsUs,1769769442372000000,1769769490238000000,5955
FilePageCache.totalPageLoadsUs,1769769442372000000,1769769490238000000,670428
FilePageCache.pageLoads,1769769442372000000,1769769490238000000,388
DirectByteBufferAllocator.hits,1769769442372000000,1769769490238000000,3
DirectByteBufferAllocator.reclaimed,1769769442372000000,1769769490238000000,43
FilePageCache.disposedBuffers,1769769442372000000,1769769490238000000,388
DirectByteBufferAllocator.disposed,1769769442372000000,1769769490238000000,345
FilePageCache.pageHits,1769769442372000000,1769769490238000000,0
FilePageCache.pageFastCacheHits,1769769442372000000,1769769490238000000,27046
FilePageCache.maxRegisteredFiles,1769769442372000000,1769769490238000000,1078
writeAction.median.wait.ms,1769769442372000000,1769769490238000000,0
writeAction.count,1769769442372000000,1769769490238000000,5
writeAction.wait.ms,1769769442372000000,1769769490238000000,17
DiskQueryRelay.taskWaitingTotalTimeUs,1769769442372000000,1769769490238000000,1143450
parser.VTL.size.bytes,1769769442372000000,1769769490238000000,138
DiskQueryRelay.tasksRequested,1769769442372000000,1769769490238000000,315
parser.VTL.time.ns,1769769442372000000,1769769490238000000,1708208
writeAction.max.wait.ms,1769769442372000000,1769769490238000000,13
lexer.VTL.size.bytes,1769769442372000000,1769769490238000000,138
DiskQueryRelay.taskExecutionTotalTimeUs,1769769442372000000,1769769490238000000,1053618
lexer.VTL.time.ns,1769769442372000000,1769769490238000000,1370106
DiskQueryRelay.tasksExecuted,1769769442372000000,1769769490238000000,315
